level,neko_sum,neko1,neko2,neko3,hand,m_letter,m_score,timeflg,time
1,0,0,0,0,10,5,2000,0,1
2,0,0,0,0,10,5,2500,0,1
3,0,0,0,0,10,5,3000,0,1
4,0,0,0,0,10,5,3000,0,1
5,0,0,0,0,10,5,3500,0,1
6,0,0,0,0,10,5,3500,0,1
7,0,0,0,0,10,6,3500,0,1
8,0,0,0,0,10,6,3500,0,1
9,0,0,0,0,10,6,3500,0,1
10,0,0,0,0,10,6,8000,0,1
11,0,0,0,0,10,6,4000,0,1
12,0,0,0,0,10,6,10000,0,1
13,0,0,0,0,15,6,5000,1,181
14,0,0,0,0,10,6,4500,1,181
15,0,0,0,0,15,6,5000,1,181
16,0,0,0,0,10,6,4000,1,181
17,0,0,0,0,10,6,4000,1,181
18,0,0,0,0,10,6,5000,1,181
19,0,0,0,0,10,7,10000,0,1
20,0,0,0,0,10,6,5000,0,1
21,0,0,0,0,15,8,5500,0,1
22,0,0,0,0,10,6,5500,0,1
23,0,0,0,0,10,6,5500,0,1
24,0,0,0,0,10,6,5500,0,1
25,0,0,0,0,10,6,5000,0,1
26,0,0,0,0,10,6,5000,0,1
27,0,0,0,0,10,8,6000,0,1
28,0,0,0,0,10,8,4000,1,181
29,0,0,0,0,20,5,5000,1,181
30,0,0,0,0,10,8,4500,1,181
31,0,0,0,0,10,6,4000,1,181
32,0,0,0,0,10,5,8000,1,181
33,0,0,0,0,15,6,5000,1,181
34,0,0,0,0,15,6,12000,1,181
35,0,0,0,0,10,7,3500,1,181
36,0,0,0,0,15,6,5500,1,181
37,0,0,0,0,10,7,4500,0,1
38,0,0,0,0,10,6,3500,0,1
39,0,0,0,0,10,7,5500,0,1
40,0,0,0,0,15,7,6500,0,1
41,0,0,0,0,15,6,7000,0,1
42,0,0,0,0,15,6,7000,0,1
43,0,0,0,0,15,7,7000,0,1
44,0,0,0,0,15,7,7000,0,1
45,0,0,0,0,1,7,4500,0,1
46,0,0,0,0,10,6,6000,1,181
47,0,0,0,0,15,6,7000,1,181
48,0,0,0,0,15,7,7000,1,181
49,0,0,0,0,15,8,4500,1,181
50,0,0,0,0,20,7,7500,1,181
51,0,0,0,0,20,7,7500,1,181
52,0,0,0,0,10,6,5000,1,181
53,0,0,0,0,15,6,10000,1,181
54,0,0,0,0,15,7,7500,1,181
55,0,0,0,0,10,8,5000,1,181
56,0,0,0,0,25,8,7500,1,181
57,0,0,0,0,25,8,8500,1,181
58,0,0,0,0,25,8,9500,1,181
59,0,0,0,0,20,8,10000,1,181
60,0,0,0,0,10,1,14000,1,181
61,0,0,0,0,15,7,1000,0,1
62,0,0,0,0,15,7,1000,0,1
63,0,0,0,0,10,1,14000,1,181
